City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,aasiaat,68.7098,-52.8699,2.9,94,90,3.24,GL,1690559158
267,mandalgovi,45.7625,106.2708,24.23,33,0,3.03,MN,1690559158
268,bolgatanga,10.7856,-0.8514,30.19,64,100,1.99,GH,1690559159
269,yershov,51.3513,48.2766,29.93,39,50,5.5,RU,1690559159
270,thinadhoo,0.5333,72.9333,28.41,74,100,2.51,MV,1690559159
271,mana,5.6592,-53.7767,30.61,64,55,4.31,GF,1690559160
272,nizhniy kuranakh,58.8353,125.4869,16.06,90,35,1.44,RU,1690559161
273,gao,16.2717,-0.0447,39.26,25,37,4.52,ML,1690559161
274,rocha,-34.4833,-54.3333,11.02,72,83,1.21,UY,1690559162
275,vao,-22.6667,167.4833,18.3,58,99,5.73,NC,1690559163
276,dawei,14.0833,98.2,25.41,93,96,2.95,MM,1690559166
277,coihaique,-45.5752,-72.0662,2.97,93,100,1.54,CL,1690559167
278,flin flon,54.7682,-101.865,15.91,59,40,3.09,CA,1690559168
279,harper,4.375,-7.7169,26.12,83,63,5.92,LR,1690559168
280,maceio,-9.6658,-35.7353,28.69,61,75,5.14,BR,1690559023
281,kutum,14.2,24.6667,28.41,42,93,1.99,SD,1690559169
282,bilibino,68.0546,166.4372,8.7,92,100,3.6,RU,1690559170
283,colac,-38.3333,143.5833,10.6,97,15,2.96,AU,1690559170
284,nizwa,22.9333,57.5333,34.2,45,100,4.2,OM,1690559170
285,nuuk,64.1835,-51.7216,10.34,81,75,2.57,GL,1690559171
286,ramsgate,51.3358,1.4155,21.26,83,99,5.68,GB,1690559171
287,los llanos de aridane,28.6585,-17.9182,24.86,75,40,6.17,ES,1690559172
288,astoria,46.1879,-123.8313,16.37,81,100,4.12,US,1690559172
289,sur,22.5667,59.5289,31.5,62,98,3.88,OM,1690559172
290,puerto rondon,6.2805,-71.1,25.91,89,96,0.36,CO,1690559173
291,anadyr,64.75,177.4833,10.28,87,20,2.0,RU,1690559173
292,ler,8.3018,30.1418,28.25,63,53,1.59,SS,1690559173
293,surazh,53.0175,32.3918,18.56,72,88,3.47,RU,1690559174
294,svarstad,59.399,9.9698,21.81,45,47,1.34,NO,1690559174
295,san jose,37.3394,-121.895,22.13,72,20,0.89,US,1690558958
296,margate,51.3813,1.3862,21.28,83,98,5.54,GB,1690559175
297,gazanjyk,39.2446,55.5154,35.25,21,0,3.99,TM,1690559175
298,saint-augustin,51.226,-58.6502,21.78,39,2,4.37,CA,1690559175
299,matara,5.9485,80.5353,26.65,85,50,4.78,LK,1690559176
300,honningsvag,70.9821,25.9704,9.86,87,40,3.6,NO,1690559176
301,arica,-18.475,-70.3042,20.75,60,0,5.14,CL,1690559177
302,seguin,29.5688,-97.9647,33.22,62,0,2.57,US,1690559126
303,nanortalik,60.1432,-45.2371,8.27,67,99,1.61,GL,1690559177
304,bougouni,11.417,-7.479,32.36,49,100,0.9,ML,1690559178
305,opuwo,-18.0607,13.84,23.51,21,56,8.17,NA,1690559117
306,solnechnyy,50.7214,136.6319,19.33,93,100,1.42,RU,1690559178
307,acarau,-2.8856,-40.12,31.42,56,2,8.85,BR,1690558992
308,greencastle,39.6445,-86.8647,26.58,88,0,2.57,US,1690559179
309,chilca,-12.5211,-76.7372,19.83,76,99,3.67,PE,1690559179
310,sagaing,21.8787,95.9797,30.62,61,100,7.83,MM,1690559180
311,sibu,2.3,111.8167,26.17,88,20,1.03,MY,1690559180
312,san patricio,19.2167,-104.7,28.06,78,40,3.6,MX,1690559181
313,xam nua,20.4197,104.0439,20.84,99,100,0.56,LA,1690559181
314,lasa,46.6166,10.7002,24.27,75,89,1.64,IT,1690559181
315,bathsheba,13.2167,-59.5167,30.34,84,75,8.75,BB,1690559182
316,namatanai,-3.6667,152.4333,25.82,86,56,2.13,PG,1690559182
317,clyde river,70.4692,-68.5914,6.13,81,20,6.69,CA,1690559182
318,madaoua,14.073,5.96,35.92,32,100,2.77,NE,1690559183
319,soe,-9.8607,124.284,17.54,90,48,1.83,ID,1690559183
320,saint-denis,-20.8667,55.4667,21.1,68,20,3.6,RE,1690559183
321,port-gentil,-0.7193,8.7815,24.98,78,75,4.63,GA,1690559183
322,provideniya,64.3833,-173.3,9.22,97,100,1.38,RU,1690559184
323,kruisfontein,-34.0033,24.7314,15.49,64,49,2.86,ZA,1690559184
324,pangnirtung,66.1451,-65.7125,7.0,87,40,7.2,CA,1690559184
325,dolinsk,47.35,142.8,17.36,96,100,0.64,RU,1690559185
326,makakilo city,21.3469,-158.0858,25.18,69,40,7.2,US,1690559185
327,indapur,18.3,73.25,24.33,96,100,0.29,IN,1690559185
328,bima,-8.4667,118.7167,20.91,92,69,1.31,ID,1690559186
329,miles city,46.4083,-105.8406,21.54,60,0,0.0,US,1690559186
330,vilyuysk,63.7553,121.6247,15.16,80,28,2.15,RU,1690559186
331,ko samui,9.5357,99.9357,29.95,74,20,3.6,TH,1690559187
332,chernyshevskiy,63.0128,112.4714,14.54,62,92,1.54,RU,1690559187
333,ust-maya,60.4167,134.5333,12.84,65,90,1.06,RU,1690559188
334,talnakh,69.4865,88.3972,25.67,54,0,1.17,RU,1690559189
335,el salto,20.3333,-104.5,22.05,75,1,1.14,MX,1690559189
336,camopi,3.1655,-52.3158,32.97,45,90,2.54,GF,1690559189
337,dois vizinhos,-25.7336,-53.0572,20.14,79,97,0.6,BR,1690559189
338,kavaratti,10.5669,72.642,28.14,79,29,6.32,IN,1690559190
339,siirt,37.9326,41.9403,33.48,16,0,1.61,TR,1690559142
340,jeremie,18.65,-74.1167,30.98,62,82,2.1,HT,1690559190
341,nome,64.5011,-165.4064,10.65,100,100,4.63,US,1690559191
342,fria,10.45,-13.5333,26.99,85,84,3.1,GN,1690559191
343,basco,20.4487,121.9702,28.38,84,100,4.33,PH,1690559191
344,palizada,18.25,-92.0833,31.76,58,58,2.52,MX,1690559192
345,port hardy,50.6996,-127.4199,15.1,94,100,0.0,CA,1690559192
346,johnstown,40.3267,-78.922,30.8,79,75,3.09,US,1690559193
347,manta,-0.95,-80.7333,25.88,73,100,5.81,EC,1690559193
348,hailar,49.2,119.7,16.67,79,47,3.5,CN,1690559193
349,okhotsk,59.3833,143.3,13.29,96,100,1.94,RU,1690559117
350,tikapur,28.5,81.1333,27.26,86,99,2.0,NP,1690559194
351,dingle,10.9995,122.6711,24.87,90,100,3.48,PH,1690559194
352,balakhninskiy,58.0106,114.2769,18.78,83,50,1.96,RU,1690559194
353,kinkala,-4.3614,14.7644,33.24,30,14,2.73,CG,1690559194
354,rabo de peixe,37.8,-25.5833,27.38,44,75,7.2,PT,1690559195
355,hjelset,62.7833,7.4833,18.54,68,40,3.09,NO,1690559195
356,treinta y tres,-33.2333,-54.3833,13.06,58,22,3.18,UY,1690559195
357,ogori,34.1,131.4,27.98,88,17,2.64,JP,1690559195
358,kargasok,59.0556,80.8572,17.51,83,76,1.96,RU,1690559196
359,pahrump,36.2083,-115.9839,35.53,15,7,3.13,US,1690558931
360,mackay,-21.15,149.2,17.6,82,39,4.22,AU,1690559196
361,cockburn town,21.4612,-71.1419,30.98,62,40,4.63,TC,1690558934
362,katherine,-14.4667,132.2667,26.18,57,100,2.57,AU,1690559197
363,srednekolymsk,67.45,153.6833,3.76,69,28,0.45,RU,1690559197
364,minas,-34.3759,-55.2377,11.88,58,27,4.16,UY,1690558946
365,pisco,-13.7,-76.2167,20.57,73,40,2.06,PE,1690559198
366,presidente medici,-11.1753,-61.9014,35.9,22,5,2.38,BR,1690559198
367,talakan,50.3167,130.3667,18.71,95,82,1.58,RU,1690559199
368,parana,-31.732,-60.5238,19.19,55,5,1.57,AR,1690559199
369,douentza,14.9951,-2.9517,37.33,30,100,2.72,ML,1690559199
370,podborany,50.2294,13.4119,25.65,56,90,6.58,CZ,1690559200
371,bage,-31.3314,-54.1069,12.88,71,40,3.6,BR,1690559200
372,broken hill,-31.95,141.4333,13.75,85,98,2.06,AU,1690559200
373,hovd,48.0056,91.6419,25.23,28,100,3.13,MN,1690559200
374,januaria,-15.4833,-44.3667,31.45,29,72,2.13,BR,1690559201
375,maiduguri,11.8464,13.1603,36.72,26,91,3.26,NG,1690559201
376,cherskiy,68.75,161.3,2.62,96,100,6.59,RU,1690559201
377,livingston,55.9029,-3.5226,20.2,58,40,7.72,GB,1690559202
378,ostrovnoy,68.0531,39.5131,18.6,69,100,3.79,RU,1690559202
379,beyneu,45.3167,55.2,35.93,16,0,2.72,KZ,1690559202
380,lakes entrance,-37.8811,147.981,8.86,84,0,2.64,AU,1690559203
381,leningradskiy,69.3833,178.4167,3.33,93,89,2.08,RU,1690559203
382,noyabrsk,63.1994,75.4507,19.61,63,82,2.46,RU,1690559203
383,gizo,-8.103,156.8419,26.76,83,96,2.44,SB,1690559203
384,arraial do cabo,-22.9661,-42.0278,25.98,73,40,5.14,BR,1690559017
385,hobyo,5.3505,48.5268,25.45,80,80,11.19,SO,1690559207
386,emerald,-23.5333,148.1667,14.32,80,8,3.05,AU,1690559208
387,pacifica,37.6138,-122.4869,20.36,90,20,4.63,US,1690559208
388,xining,36.6167,101.7667,15.5,56,1,0.22,CN,1690559210
389,dedovichi,57.5517,29.9502,20.35,51,65,1.71,RU,1690559210
390,tomatlan,19.9333,-105.25,30.81,62,3,0.3,MX,1690559211
391,suifenhe,44.4,131.1667,19.73,95,94,1.9,CN,1690559211
392,santa cruz,14.2814,121.4161,25.03,94,100,1.94,PH,1690559211
393,chizhou,30.6578,117.4831,25.02,95,100,4.85,CN,1690559190
394,lavrentiya,65.5833,-171.0,7.74,99,100,1.13,RU,1690559212
395,hamina,60.5697,27.1979,17.96,79,87,4.28,FI,1690559212
396,norman wells,65.282,-126.8329,18.02,82,75,1.03,CA,1690559212
397,arlit,18.7369,7.3853,33.83,33,49,11.99,NE,1690559213
398,olavarria,-36.8927,-60.3225,9.98,63,40,2.19,AR,1690559213
399,pevek,69.7008,170.3133,3.77,87,97,1.37,RU,1690559213
400,fortuna,40.5982,-124.1573,15.52,93,100,1.34,US,1690559213
401,opportunity,47.6499,-117.2399,23.08,46,0,1.54,US,1690559214
402,puerto lempira,15.2667,-83.7667,27.08,83,100,2.57,HN,1690559214
403,shirokiy,49.758,129.523,18.52,93,92,1.91,RU,1690559214
404,cassilandia,-19.1133,-51.7342,32.44,20,93,2.11,BR,1690559157
405,izhma,65.0083,53.9113,20.7,68,98,1.33,RU,1690559214
406,sembakung,3.8167,117.25,24.86,92,98,0.94,ID,1690559215
407,mossendjo,-2.9506,12.7261,25.5,59,96,0.9,CG,1690559215
408,port-cartier,50.0334,-66.8654,21.53,59,68,4.22,CA,1690559215
409,eyl,7.9803,49.8164,26.25,72,91,11.76,SO,1690559215
410,khandyga,62.6667,135.6,11.37,66,99,1.47,RU,1690559216
411,hambantota,6.1241,81.1185,29.19,74,20,5.14,LK,1690559216
412,san quintin,30.4833,-115.95,22.6,74,0,2.09,MX,1690559216
413,kotido,2.9806,34.1331,25.65,49,95,2.22,UG,1690559216
414,bembereke,10.2283,2.6634,27.59,75,100,1.35,BJ,1690559217
415,seoul,37.5683,126.9778,26.78,86,0,0.51,KR,1690559217
416,yar-sale,66.8333,70.8333,19.38,79,59,2.54,RU,1690559217
417,adrasmon,40.6472,69.9856,22.94,34,95,3.77,TJ,1690559217
418,naldurg,17.8167,76.3,22.89,88,100,7.51,IN,1690559218
419,norsup,-16.0667,167.3833,22.51,73,99,6.94,VU,1690559218
420,belmonte,-15.8631,-38.8828,25.71,62,99,3.06,BR,1690559218
421,coruripe,-10.1256,-36.1756,26.09,74,42,6.08,BR,1690559219
422,lewistown,40.5992,-77.5714,32.01,70,0,1.54,US,1690559050
423,boende,-0.2167,20.8667,32.1,42,86,0.68,CD,1690559219
424,dauriya,49.9333,116.8667,15.93,88,80,2.13,RU,1690559219
425,hamilton,43.2334,-79.9496,28.32,70,75,4.12,CA,1690559220
426,saku,36.2167,138.4833,22.27,92,78,0.73,JP,1690559220
427,notse,6.95,1.1667,25.36,88,100,3.51,TG,1690559220
428,fort nelson,58.8053,-122.7002,11.77,100,100,1.54,CA,1690559220
429,shelburne,44.0787,-80.2041,25.07,66,84,4.88,CA,1690559090
430,deputatskiy,69.3,139.9,4.17,77,63,1.32,RU,1690559221
431,viedma,-40.8135,-62.9967,10.13,59,61,8.45,AR,1690559221
432,linfen,36.0889,111.5189,26.02,67,100,3.74,CN,1690559204
433,spirovo,57.419,34.9766,14.29,86,100,3.17,RU,1690559222
434,bolobo,-2.1667,16.2333,33.77,29,23,1.11,CD,1690559222
435,tilichiki,60.4667,166.1,9.83,97,100,2.68,RU,1690559222
436,cao bang,22.6667,106.25,27.41,83,94,1.02,VN,1690559223
437,porosozero,62.7191,32.727,14.62,99,100,3.65,RU,1690559223
438,starkville,33.4504,-88.8184,33.58,49,27,0.95,US,1690559223
439,jizan,16.8892,42.5511,34.91,49,58,8.23,SA,1690559223
440,malakal,9.5334,31.6605,29.55,57,72,0.69,SS,1690559224
441,vaitape,-16.5167,-151.75,26.33,77,2,4.02,PF,1690559224
442,hammerfest,70.6634,23.6821,12.25,76,75,4.63,NO,1690559224
443,isabela,10.2048,122.9888,24.68,93,100,1.3,PH,1690559230
444,tezu,27.9167,96.1667,24.3,98,97,1.24,IN,1690559231
445,zvishavane,-20.3267,30.0665,21.12,26,7,2.53,ZW,1690559231
446,saiha,22.4833,92.9667,22.45,99,100,0.99,IN,1690559231
447,hue,16.4667,107.6,31.06,70,40,1.54,VN,1690559116
448,khuzhir,53.1939,107.3397,13.26,94,15,1.48,RU,1690559232
449,chiang kham,19.5233,100.3,26.07,80,100,0.45,TH,1690559232
450,jacareacanga,-6.2222,-57.7528,37.78,19,0,2.16,BR,1690559232
451,tengzhou,35.0771,117.1518,24.87,93,100,5.5,CN,1690559235
452,eschwege,51.1833,10.0667,25.48,62,100,4.65,DE,1690559235
453,fujin,47.26,132.0322,21.63,95,100,2.72,CN,1690559236
454,gravdal,68.1214,13.5031,15.94,77,20,6.69,NO,1690559236
455,damghan,36.1683,54.348,32.59,24,77,3.2,IR,1690559236
456,mawlaik,23.6333,94.4167,25.93,98,100,0.33,MM,1690559237
457,touros,-5.1989,-35.4608,28.84,62,6,8.17,BR,1690559237
458,tabuk,17.4189,121.4443,25.07,91,100,0.31,PH,1690559237
459,lithgow,-33.4833,150.15,6.71,96,38,1.94,AU,1690559238
460,kaeo,-35.1,173.7833,6.97,88,99,1.71,NZ,1690559238
461,thabazimbi,-24.5917,27.4116,21.3,26,24,2.1,ZA,1690559238
462,monaragala,6.8714,81.3487,26.9,65,47,1.84,LK,1690559239
463,duekoue,6.7472,-7.3496,25.89,94,97,1.7,CI,1690559239
464,peniche,39.3558,-9.3811,26.16,84,4,4.56,PT,1690559239
465,mugur-aksy,50.35,90.5,13.12,86,100,2.26,RU,1690559240
466,cururupu,-1.8283,-44.8683,27.88,81,8,3.37,BR,1690559074
467,almenara,-16.1836,-40.6944,27.35,50,99,1.64,BR,1690559241
468,eenhana,-17.4667,16.3333,27.84,17,63,3.81,NA,1690559241
469,soubre,5.7856,-6.6083,25.97,92,93,2.46,CI,1690559241
470,mapastepec,15.4333,-92.9,32.51,55,13,1.44,MX,1690559242
471,morondava,-20.2833,44.2833,22.98,59,0,4.94,MG,1690559242
472,coahuayana,18.7333,-103.6833,32.33,51,34,0.84,MX,1690559242
473,sabang,5.8933,95.3214,28.27,76,91,9.64,ID,1690559242
474,ciudad bolivar,8.1222,-63.5497,33.21,50,62,3.33,VE,1690559101
475,saint-joseph,-21.3667,55.6167,20.21,69,4,4.14,RE,1690559243
476,grand gaube,-20.0064,57.6608,23.22,70,4,0.45,MU,1690559243
477,tambacounda,13.7539,-13.7586,36.68,42,57,2.55,SN,1690559244
478,berlevag,70.8578,29.0864,11.0,93,100,4.12,NO,1690559244
479,ust-koksa,50.2696,85.6108,13.79,97,100,0.58,RU,1690559244
480,koygorodok,60.445,50.9968,21.5,68,66,1.92,RU,1690559245
481,troitskoye,52.9821,84.6757,16.92,97,100,2.76,RU,1690559245
